WasEditedForGame,Key:AttackName,Category,ElementType,Frequency,Range,AttackCategory,NumOfTargets,NumOfTurns,AC,Damage,AttackEffects,ExtraAffectType,ExtraAffectResult,LengthOfExtraAffect,AccuracyCheckBonus,AccuracyBonusType,AccuracyBonusResult,LengthOfBonusAffect,FullRangeDescription,ContestStats,ContributedBy
0,Low Kick,Physical,Fighting,Battle,Melee, Weight Class, 1 Target,,2,See Effect,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,,,,,,,"Melee, 1 Target, Weight Class",Tough - 3d4 - No Effect,
0,Grass Knot,Special,Grass,Battle,Ranged (5), Weight Class, 1 Target,,2,See Effect,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,,,,,,,"Ranged (5), 1 Target, Weight Class",Smart - 2d4 - Incentives,
0,Sunny Day,Effect,Fire,Battle,No Damage, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Sunny. While Sunny, Fire-Type attacks deal 1.5x damage. Water-Type attacks deal ½ the damage they normally would.",,,,,,,,"No Damage, Target Area, Weather",Beauty - 2d4 - Hold That Thought,
0,Defog,Effect,Flying,EOT,No Damage, Weather, Target Area,,0,-,"For 1 minute (6 rounds), the area is considered Clear. While Clear, all hindering terrain is no longer hindering terrain and all bonuses or penalties to Accuracy Checks are ignored. All Walls, Coats and Hazards are destroyed.",,,,,,,,"No Damage, Target Area, Weather",Beauty - 2d4 - Hold That Thought,
0,Hail,Effect,Ice,Battle,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Hailing. At the beginning of each round, all non-Ice Type Pokemon lose 1/16th of their full HP. Ice Type Pokemon are treated as if their Defense is raised 2 Combat Stages while Hailing.",,,,,,,,"Field, Target Area, Weather",Beauty - 2d4 - Hold That Thought,
0,Haze,Effect,Ice,At-Will,Field, Weather, Target Area,,0,-,"For 30 seconds, the area is considered Hazy. Hazy does not replace other Weather Statuses. In Hazy Weather, all Combat Stages get set to 0.",,,,,,,,"Field, Target Area, Weather",Beauty - 2d4 - Hold That Thought,
0,Gravity,Effect,Psychic,Battle,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Flying-Types and Pokemon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Checks are lowered by -2. Warped does not replace other Weather effects.",,,,,,,,"Field, Target Area, Weather",Beauty - 2d4 - Hold That Thought,
0,Magic Room,Effect,Psychic,Center,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Useless. While Useless, Pokemon may not use the effects of any Held items or activate any Held items. Useless does not replace other Weather effects.",,,,,,,,"Field, Target Area, Weather",Cute - 2d4 - Scrambler,
0,Trick Room,Effect,Psychic,Center,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Rewinding. While Rewinding, the order in which combatants go during a round of Combat isn’t ordered from highest Speed to lowest Speed; instead it is order from lowest Speed to Highest Speed. Rewinding does not replace other Weather effects.",,,,,,,,"Field, Target Area, Weather",Cute - 2d4 - Scrambler,
0,Wonder Room,Effect,Psychic,Center,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Wondered. While Wondered, each individual Pokemon’s Defense and Special Defense are switched. Wondered does not replace other Weather effects.",,,,,,,,"Field, Target Area, Weather",Cute - 2d4 - Scrambler,
0,Sandstorm,Effect,Rock,Battle,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Sandstorming. At the beginning of each round, all non-Ground, Rock, or Steel Type Pokemon lose 1/16th of their full HP. Rock Type Pokemon are treated as if their Special Defense is raised 2 Combat Stages while Sandstorming.",,,,,,,,"Field, Target Area, Weather",Tough - 2d4 - Hold That Thought,
0,Rain Dance,Effect,Water,Battle,Field, Weather, Target Area,,0,-,"For 1d4+1 rounds, the area is considered Rainy. While Rainy, Water-Type attacks deal 1.5x damage. Fire-Type attacks deal ½ the damage they normally would.",,,,,,,,"Field, Target Area, Weather",Tough - 2d4 - Hold That Thought,
