Key:AttackName NVARCHAR(100),WasEditedForGame INT,Category NVARCHAR(100),ElementType NVARCHAR(100),Frequency NVARCHAR(100),Range NVARCHAR(100),AttackCategory NVARCHAR(100),NumOfTargets NVARCHAR(100),NumOfTurns NVARCHAR(100),AC NVARCHAR(100),Damage NVARCHAR(100),AttackEffects NVARCHAR(MAX),ExtraAffectType NVARCHAR(100),ExtraAffectResult NVARCHAR(100),LengthOfExtraAffect NVARCHAR(100),AccuracyCheckBonus NVARCHAR(100),AccuracyBonusType NVARCHAR(100),AccuracyBonusResult NVARCHAR(100),LengthOfBonusAffect NVARCHAR(100),FullRangeDescription NVARCHAR(MAX),ContestStats NVARCHAR(MAX),ContributedBy NVARCHAR(100)
Low Kick,0,Physical,Fighting,OncePerBattle,Melee, Weight Class, 1 Target,,2,See Effect,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,,,,,,,"Melee, 1 Target, Weight Class",Tough - 3d4 - No Effect,
Grass Knot,0,Special,Grass,OncePerBattle,Ranged (5), Weight Class, 1 Target,,2,See Effect,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,,,,,,,"Ranged (5), 1 Target, Weight Class",Smart - 2d4 - Incentives,
Spider Web,0,Effect,Bug,Center,Ranged (5), Trap, 1 Target,,0,-,Spider Web cannot miss. *Grants: Threaded,,,,,,,,"Ranged (5), 1 Target, Trap",Smart - 2d4 - Hold That Thought,
Fire Spin,0,Special,Fire,EOT,Ranged (10), Trap, 1 Target,,4,1d12+6,"Fire Spin Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Fire Spin may not trap more then one target at a time. *Grants: Firestarter",,,,,,,,"Ranged (10), 1 Target, Trap",Beauty - None - Torrential Appeal,
Magma Storm,0,Special,Fire,Center,Ranged (8), Trap, 1 Target,,7,5d12+18,"Magma Storm Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 2d20 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Magma Storm may not trap more then one target at a time.",,,,,,,,"Ranged (8), 1 Target, Trap",Tough - 2d4 - Reliable,
Sand Tomb,0,Physical,Ground,EOT,Ranged (6), Trap, 1 Target,,4,1d12+6,"Sand Tomb Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Sand Tomb may not trap more then one target at a time.",,,,,,,,"Ranged (6), 1 Target, Trap",Smart - None - Torrential Appeal,
Bind,0,Physical,Normal,EOT,Melee, Trap, 1 Target,,4,1d6+3,"Bind Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Bind may not trap more then one target at a time unless the User is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - None - Torrential Appeal,
Block,0,Effect,Normal,OncePerBattle,Melee, Trap, 1 Target,,2,-,Both the user and the target are Trapped.,,,,,,,,"Melee, 1 Target, Trap",Cute - 2d4 - Hold That Thought,
Wrap,0,Physical,Normal,EOT,Melee, Trap, 1 Target,,4,1d6+3,"Wrap Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Wrap may not trap more then one target at a time unless the user is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - None - Torrential Appeal,
Clamp,0,Physical,Water,EOT,Melee, Trap, 1 Target,,4,1d12+6,"Clamp Traps the target and the user for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Clamp may not trap more then one target at a time unless the user is Huge or Gigantic.",,,,,,,,"Melee, 1 Target, Trap",Tough - 3d4 - No Effect,
Whirlpool,0,Special,Water,EOT,Ranged(5), Trap, 1 Target,,4,1d12+6,"Whirlpool Traps the target for 1d4+1 turns. At the beginning of the target's turn, if the target is Trapped, roll 1d12 and the target loses that much HP. Do not apply weakness or resistance to the HP lost. Do not apply stats to the HP lost. Whirlpool may not trap more then one target at a time.",,,,,,,,"Ranged(5), 1 Target, Trap",Beauty - None - Torrential Appeal,
Fiery Dance,0,Special,Fire,OncePerBattle,Ranged (4), Spirit Surge, 1 Target,,2,3d10+12,Fiery Dance raises the user's Special Attack by 1 Combat Stage on 11-20 on Accuracy Check.,,,,,,,,"Ranged (4), 1 Target, Spirit Surge",Cool - 2d4 - Round Ender,
Rage,0,Physical,Normal,At-Will,Melee, Spirit Surge, 1 Target,,2,1d6+3,"The user's Attack is raised 1 Combat Stage as long as they used Rage on their previous turn. If the user is damaged by an attack before it's next turn, its Attack is raised 1 Combat Stage.",,,,,,,,"Melee, 1 Target, Spirit Surge",Cool - None - Get Ready!,
