Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Melee,,See Effect,"Melee, 1 Target, Weight Class",0,, 1 Target,,"Melee, 1 Target, Weight Class",,See Effect,,,, Weight Class,,2,,Fighting,Tough - 3d4 - No Effect,,,0,Low Kick, 1 Target,Physical,2,,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,Tough - 3d4 - No Effect,Battle,,,Battle,,Melee, Weight Class,,,Fighting,Physical,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage."
Ranged (5),,See Effect,"Ranged (5), 1 Target, Weight Class",0,, 1 Target,,"Ranged (5), 1 Target, Weight Class",,See Effect,,,, Weight Class,,2,,Grass,Smart - 2d4 - Incentives,,,0,Grass Knot, 1 Target,Special,2,,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage.",,Smart - 2d4 - Incentives,Battle,,,Battle,,Ranged (5), Weight Class,,,Grass,Special,"If the target is in Weight Class 1, use 1d10 for Damage Dice Roll. If the target is in Weight Class 2, use 1d10+5. If the target is in Weight Class 3, use 1d10+10. If the target is in Weight Class 4, use 2d10+12. If the target is in Weight Class 5, use 3d10+14. If the target is in Weight Class 6, use 5d10+16 for damage."
No Damage,,-,"No Damage, Target Area, Weather",0,, Target Area,,"No Damage, Target Area, Weather",,-,,,, Weather,,0,,Fire,Beauty - 2d4 - Hold That Thought,,,0,Sunny Day, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Sunny. While Sunny, Fire-Type attacks deal 1.5x damage. Water-Type attacks deal 1/2 the damage they normally would.",,Beauty - 2d4 - Hold That Thought,Battle,,,Battle,,No Damage, Weather,,,Fire,Effect,"For 1d4+1 rounds, the area is considered Sunny. While Sunny, Fire-Type attacks deal 1.5x damage. Water-Type attacks deal 1/2 the damage they normally would."
No Damage,,-,"No Damage, Target Area, Weather",0,, Target Area,,"No Damage, Target Area, Weather",,-,,,, Weather,,0,,Flying,Beauty - 2d4 - Hold That Thought,,,0,Defog, Target Area,Effect,0,,"For 1 minute (6 rounds), the area is considered Clear. While Clear, all hindering terrain is no longer hindering terrain and all bonuses or penalties to Accuracy Checks are ignored. All Walls, Coats and Hazards are destroyed.",,Beauty - 2d4 - Hold That Thought,EOT,,,EOT,,No Damage, Weather,,,Flying,Effect,"For 1 minute (6 rounds), the area is considered Clear. While Clear, all hindering terrain is no longer hindering terrain and all bonuses or penalties to Accuracy Checks are ignored. All Walls, Coats and Hazards are destroyed."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Ice,Beauty - 2d4 - Hold That Thought,,,0,Hail, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Hailing. At the beginning of each round, all non-Ice Type Pokemon lose 1/16th of their full HP. Ice Type Pokemon are treated as if their Defense is raised 2 Combat Stages while Hailing.",,Beauty - 2d4 - Hold That Thought,Battle,,,Battle,,Field, Weather,,,Ice,Effect,"For 1d4+1 rounds, the area is considered Hailing. At the beginning of each round, all non-Ice Type Pokemon lose 1/16th of their full HP. Ice Type Pokemon are treated as if their Defense is raised 2 Combat Stages while Hailing."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Ice,Beauty - 2d4 - Hold That Thought,,,0,Haze, Target Area,Effect,0,,"For 30 seconds, the area is considered Hazy. Hazy does not replace other Weather Statuses. In Hazy Weather, all Combat Stages get set to 0.",,Beauty - 2d4 - Hold That Thought,At-Will,,,At-Will,,Field, Weather,,,Ice,Effect,"For 30 seconds, the area is considered Hazy. Hazy does not replace other Weather Statuses. In Hazy Weather, all Combat Stages get set to 0."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Psychic,Beauty - 2d4 - Hold That Thought,,,0,Gravity, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Flying-Types and Pokemon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Checks are lowered by -2. Warped does not replace other Weather effects.",,Beauty - 2d4 - Hold That Thought,Battle,,,Battle,,Field, Weather,,,Psychic,Effect,"For 1d4+1 rounds, the area is considered Warped. While Warped, Moves that involve the user being airborne may not be used. Flying-Types and Pokemon with the Ability Levitate are no longer immune to Ground-Type Moves. All Accuracy Checks are lowered by -2. Warped does not replace other Weather effects."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Psychic,Cute - 2d4 - Scrambler,,,0,Magic Room, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Useless. While Useless, Pokemon may not use the effects of any Held items or activate any Held items. Useless does not replace other Weather effects.",,Cute - 2d4 - Scrambler,Center,,,Center,,Field, Weather,,,Psychic,Effect,"For 1d4+1 rounds, the area is considered Useless. While Useless, Pokemon may not use the effects of any Held items or activate any Held items. Useless does not replace other Weather effects."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Psychic,Cute - 2d4 - Scrambler,,,0,Trick Room, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Rewinding. While Rewinding, the order in which combatants go during a round of Combat isn't ordered from highest Speed to lowest Speed; instead it is order from lowest Speed to Highest Speed. Rewinding does not replace other Weather effects.",,Cute - 2d4 - Scrambler,Center,,,Center,,Field, Weather,,,Psychic,Effect,"For 1d4+1 rounds, the area is considered Rewinding. While Rewinding, the order in which combatants go during a round of Combat isn't ordered from highest Speed to lowest Speed; instead it is order from lowest Speed to Highest Speed. Rewinding does not replace other Weather effects."
Field,,-,"Field, Target Area, Weather",0,, Target Area,,"Field, Target Area, Weather",,-,,,, Weather,,0,,Psychic,Cute - 2d4 - Scrambler,,,0,Wonder Room, Target Area,Effect,0,,"For 1d4+1 rounds, the area is considered Wondered. While Wondered, each individual Pokemon's Defense and Special Defense are switched. Wondered does not replace other Weather effects.",,Cute - 2d4 - Scrambler,Center,,,Center,,Field, Weather,,,Psychic,Effect,"For 1d4+1 rounds, the area is considered Wondered. While Wondered, each individual Pokemon's Defense and Special Defense are switched. Wondered does not replace other Weather effects."
